Note;Time Stamp;P1;P2;P3;P4;P5;P6;T1;T2;T3;T4;T5;T6;T7;T8;TC1;TC2;TC3;TC4;TC5;TC6;TC7;TC8;TC9;TC10;P7;P8;P9;P10;PRELE_1;ITOT_1;PACTT_1;CFTOT_1;FTOT_1;ITOT_2;PACTT_2;CFTOT_2;FTOT_2;ITOT_3;PACTT_3;CFTOT_3;FTOT_3;ITOT_4;PACTT_4;CFTOT_4;FTOT_4;ITOT_5;PACTT_5;CFTOT_5;FTOT_5;EVAP1_POWER;EVAP1_Cp;EVAP1_Rho;EVAP1_dT;EVAP1_TIN_M;EVAP1_TOUT_M;EVAP2_POWER;EVAP2_Cp;EVAP2_Rho;EVAP2_dT;EVAP2_TIN_M;EVAP2_TOUT_M;EVAP3_POWER;EVAP3_Cp;EVAP3_Rho;EVAP3_dT;EVAP3_TIN_M1;EVAP3_TOUT_M1;EVAP1_DP_H2O;EVAP2_DP_H2O;EVAP3_DP_H2O;TC_P7;TC_P8;TC_P9;TC_P10;SOTT_1;SOTT_2;SURR_1;SURR_2;TAC_M;MP1_2;MP3_4;MP5_6;;;VCM_1;VCM_2;VCM_3;VCM_4;VCM_5;File name;Last modification;STAZIONE DI COLLAUDO;OPERATORE;CODICE MACCHINA;MATRICOLA MACCHINA;NUMERO ODL;DATA/ORA COLLAUDO;FLUIDO;GAS REFRIGERANTE;REVISIONE;LINEA DEL FLUIDO;NR CIRCUITI;RESPONSABILE LINEA CHILLER\CLIMA;DIREZIONE TECNICA;ALIMENTAZIONE;ESITO COLLAUDO;NOTE DI COLLAUDO;N.TEST
circ.1 - precarica 5,0 kg VT tutta aperta;0 days 00:04:40;1.6;1.6;0.1;4.24;1.7;1.6;23.74;23.84;19.9;15.36;24.52;24.19;29.53;31.4;31.21;31.92;32.86;32.0;400.0;32.18;43.56;33.31;13.12;33.33;26.17;0.2;8.79;0.4;4.0;-999.0;-999.0;-999.0;-999.0;-999.0;-999.0;-999.0;-999.0;-999.0;-999.0;-999.0;-999.0;-999.0;-999.0;-999.0;-999.0;27.13;18.3;0.84;59.9;0.0;2080.0;845.54;0.1;23.74;23.84;43.13;4190.0;998.38;4.54;19.9;15.36;0.0;4180.0;996.96;0.33;24.52;24.19;0.05;4.13;0.1;44.77;-47.23;6.64;-44.87;1.21;80.54;6.49;78.2;31.99;0.0;136.17;0.0;;;-999.0;-999.0;-999.0;;;Data not found;Data not found;R110;1 RESTANI MATTEO;TALQ0NNSBA10087;00380468;617084;20/11/2024 12:20:14;ACQUA;R410a_PA.txt;00;ALTA PORTATA;4;Ing. Flavio Dias;Ing. Paolo Russo;460V 3PH 60Hz;;;t001
CIRC.1 - 5,0 kg VT tutta aperta - report con portata 258 L/min;0 days 00:04:45;1.6;1.6;0.41;3.73;1.7;1.7;26.35;26.37;18.0;15.66;26.12;25.35;29.66;31.49;31.25;32.31;32.65;32.03;400.0;32.1;43.94;33.19;15.92;33.11;26.42;0.2;9.19;0.4;4.0;-999.0;-999.0;-999.0;-999.0;-999.0;-999.0;-999.0;-999.0;-999.0;-999.0;-999.0;-999.0;-999.0;-999.0;-999.0;-999.0;28.32;19.36;0.85;59.89;0.0;2090.0;844.25;0.02;26.35;26.37;41.95;4190.0;998.52;2.34;18.0;15.66;-0.01;4180.0;996.61;0.78;26.12;25.35;0.02;3.3;0.03;45.15;-47.21;7.94;-44.94;1.22;80.4;7.98;78.05;32.06;0.0;256.95;0.0;;;-999.0;-999.0;-999.0;;;Data not found;Data not found;R110;1 RESTANI MATTEO;TALQ0NNSBA10087;00380468;617084;20/11/2024 12:20:14;ACQUA;R410a_PA.txt;00;ALTA PORTATA;4;Ing. Flavio Dias;Ing. Paolo Russo;460V 3PH 60Hz;;;t001
CIRC.2 - 5,0 kg VT tutta aperta - report con portata 258 L/min;0 days 00:05:20;1.6;1.6;0.41;3.74;1.7;1.7;27.55;27.56;17.45;15.17;26.9;25.92;29.04;31.11;31.86;31.87;31.91;32.64;400.0;31.78;44.2;31.88;14.03;31.82;26.48;0.2;9.2;0.4;4.0;-999.0;-999.0;-999.0;-999.0;-999.0;-999.0;-999.0;-999.0;-999.0;-999.0;-999.0;-999.0;-999.0;-999.0;-999.0;-999.0;28.57;19.64;0.86;59.9;0.0;2095.57;843.65;0.02;27.55;27.56;40.61;4190.0;998.6;2.28;17.45;15.17;-0.01;4180.0;996.43;0.98;26.9;25.92;0.01;3.31;0.01;45.24;-47.23;8.01;-44.91;1.04;79.11;6.02;76.74;32.07;0.0;255.28;0.0;;;-999.0;-999.0;-999.0;;;Data not found;Data not found;R110;1 RESTANI MATTEO;TALQ0NNSBA10087;00380468;617084;20/11/2024 12:20:14;ACQUA;R410a_PA.txt;00;ALTA PORTATA;4;Ing. Flavio Dias;Ing. Paolo Russo;460V 3PH 60Hz;;;t001
CIRC.3 - 5,0 kg VT tutta aperta - report con portata 258 L/min;0 days 00:04:50;1.62;1.6;0.4;3.75;1.7;1.8;28.73;28.57;17.34;14.89;27.42;26.41;29.4;31.35;31.81;32.01;32.02;32.17;400.0;32.13;43.63;32.3;14.09;32.1;26.08;0.2;8.99;0.4;4.0;-999.0;-999.0;-999.0;-999.0;-999.0;-999.0;-999.0;-999.0;-999.0;-999.0;-999.0;-999.0;-999.0;-999.0;-999.0;-999.0;27.99;19.16;0.86;59.9;0.0;2100.0;843.1;0.16;28.73;28.57;43.29;4190.0;998.63;2.45;17.34;14.89;-0.01;4180.0;996.3;1.0;27.42;26.41;0.01;3.32;0.06;44.63;-47.25;7.3;-44.9;1.0;79.55;6.79;76.99;32.0;0.0;253.68;0.0;;;-999.0;-999.0;-999.0;;;Data not found;Data not found;R110;1 RESTANI MATTEO;TALQ0NNSBA10087;00380468;617084;20/11/2024 12:20:14;ACQUA;R410a_PA.txt;00;ALTA PORTATA;4;Ing. Flavio Dias;Ing. Paolo Russo;460V 3PH 60Hz;;;t001
CIRC.4 - 5,0 kg VT tutta aperta - report con portata 258 L/min;0 days 00:04:35;1.7;1.6;0.44;3.73;1.7;1.8;29.52;29.37;17.5;15.07;28.09;26.92;29.02;31.11;31.54;32.12;31.41;33.12;400.0;31.4;43.98;31.25;14.31;31.19;26.22;0.2;9.11;0.4;4.0;-999.0;-999.0;-999.0;-999.0;-999.0;-999.0;-999.0;-999.0;-999.0;-999.0;-999.0;-999.0;-999.0;-999.0;-999.0;-999.0;28.22;19.39;0.86;59.88;0.0;2104.45;842.7;0.16;29.52;29.37;43.62;4190.0;998.6;2.43;17.5;15.07;-0.01;4180.0;996.14;1.17;28.09;26.92;0.02;3.29;0.1;44.86;-47.29;7.78;-44.85;0.89;78.53;6.54;76.05;32.04;0.0;257.79;0.0;;;-999.0;-999.0;-999.0;;;Data not found;Data not found;R110;1 RESTANI MATTEO;TALQ0NNSBA10087;00380468;617084;20/11/2024 12:20:14;ACQUA;R410a_PA.txt;00;ALTA PORTATA;4;Ing. Flavio Dias;Ing. Paolo Russo;460V 3PH 60Hz;;;t001
R410a precarica 5,0 kg VT tutta aperta;0 days 00:05:10;1.7;1.7;1.2;5.23;1.7;1.6;26.19;25.88;19.2;15.82;25.19;24.24;28.93;31.16;31.88;32.15;31.9;32.0;400.0;32.1;44.32;32.74;15.04;32.35;26.75;0.2;9.39;0.39;4.0;-999.0;-999.0;-999.0;-999.0;-999.0;-999.0;-999.0;-999.0;-999.0;-999.0;-999.0;-999.0;-999.0;-999.0;-999.0;-999.0;7.12;3.84;0.79;49.9;0.0;2090.0;844.41;0.31;26.19;25.88;47.06;4190.0;998.4;3.37;19.2;15.82;0.0;4180.0;996.87;0.96;25.19;24.24;0.0;4.03;0.14;45.66;-47.79;8.63;-45.19;1.34;80.53;6.41;77.55;31.98;0.0;200.11;0.0;;;-999.0;-999.0;-999.0;;;Data not found;Data not found;R110;1 RESTANI MATTEO;TALF8NHHBX1T1U1;00378721;616540;08/11/2024 14:00:01 - 12/11/2024 11:42:18;ACQUA;R410a_PA.txt;00;ALTA PORTATA;1;Ing. Paolo Russo;Ing. Paolo Russo;400V-460V 3PH 50Hz-60Hz;PASSED;;t002
+500 gr tot 5,5 kg VT tutta aperta;0 days 00:04:35;1.7;1.7;1.2;5.2;1.7;1.6;28.23;27.87;18.62;15.2;26.79;25.4;28.63;31.02;31.97;32.04;31.98;32.04;400.0;32.31;44.68;32.36;8.68;32.17;26.97;0.2;9.46;0.4;4.0;-999.0;-999.0;-999.0;-999.0;-999.0;-999.0;-999.0;-999.0;-999.0;-999.0;-999.0;-999.0;-999.0;-999.0;-999.0;-999.0;7.09;3.83;0.8;49.9;0.0;2100.0;843.4;0.36;28.23;27.87;47.94;4190.0;998.5;3.42;18.62;15.2;0.0;4180.0;996.51;1.39;26.79;25.4;0.02;3.96;0.14;46.01;-47.78;8.82;-45.07;1.34;80.13;0.15;77.23;32.01;0.0;201.17;0.0;;;-999.0;-999.0;-999.0;;;Data not found;Data not found;R110;1 RESTANI MATTEO;TALF8NHHBX1T1U1;00378721;616540;08/11/2024 14:00:01 - 12/11/2024 11:42:18;ACQUA;R410a_PA.txt;00;ALTA PORTATA;1;Ing. Paolo Russo;Ing. Paolo Russo;400V-460V 3PH 50Hz-60Hz;PASSED;;t002
+200 gr tot 5,7 kg VT tutta aperta;0 days 00:04:11;1.7;1.7;1.2;5.23;1.7;1.6;29.32;28.88;18.39;14.98;27.82;26.22;28.65;31.02;31.96;32.06;31.96;32.06;400.0;32.22;44.8;32.36;8.59;32.18;27.07;0.2;9.46;0.4;4.0;-999.0;-999.0;-999.0;-999.0;-999.0;-999.0;-999.0;-999.0;-999.0;-999.0;-999.0;-999.0;-999.0;-999.0;-999.0;-999.0;7.12;3.85;0.8;49.9;0.0;2100.98;842.87;0.44;29.32;28.88;47.47;4190.0;998.54;3.41;18.39;14.98;0.0;4180.0;996.27;1.59;27.82;26.22;0.03;4.03;0.14;46.15;-47.78;8.84;-45.15;1.35;80.15;0.26;77.33;32.02;0.0;199.67;0.0;;;-999.0;-999.0;-999.0;;;Data not found;Data not found;R110;1 RESTANI MATTEO;TALF8NHHBX1T1U1;00378721;616540;08/11/2024 14:00:01 - 12/11/2024 11:42:18;ACQUA;R410a_PA.txt;00;ALTA PORTATA;1;Ing. Paolo Russo;Ing. Paolo Russo;400V-460V 3PH 50Hz-60Hz;PASSED;;t002
chiuso VT 2 giri tot 5,7 kg VT chiusa 2 giri;0 days 00:05:06;1.6;1.7;1.2;5.2;1.7;1.5;23.37;23.37;18.64;15.01;21.61;20.68;28.85;31.15;31.78;32.14;31.88;32.07;400.0;32.08;45.18;32.65;8.3;32.25;27.29;0.2;9.31;0.4;4.0;-999.0;-999.0;-999.0;-999.0;-999.0;-999.0;-999.0;-999.0;-999.0;-999.0;-999.0;-999.0;-999.0;-999.0;-999.0;-999.0;7.23;3.9;0.79;49.89;0.0;2080.0;845.75;0.01;23.37;23.37;50.6;4190.0;998.52;3.64;18.64;15.01;0.0;4180.0;997.69;0.92;21.61;20.68;0.01;3.99;0.15;46.49;-47.81;8.42;-45.09;1.3;80.46;0.12;77.34;31.96;0.0;199.61;0.0;;;-999.0;-999.0;-999.0;;;Data not found;Data not found;R110;1 RESTANI MATTEO;TALF8NHHBX1T1U1;00378721;616540;08/11/2024 14:00:01 - 12/11/2024 11:42:18;ACQUA;R410a_PA.txt;00;ALTA PORTATA;1;Ing. Paolo Russo;Ing. Paolo Russo;400V-460V 3PH 50Hz-60Hz;PASSED;;t002
+300 gr tot 6,0 kg VT chiusa 2 giri;0 days 00:06:16;1.7;1.69;1.2;5.3;1.7;1.54;26.45;26.1;18.65;14.96;23.9;22.25;28.67;31.04;31.86;32.15;31.92;32.02;400.0;32.11;45.47;32.71;8.38;32.41;27.5;0.2;9.39;0.4;4.0;-999.0;-999.0;-999.0;-999.0;-999.0;-999.0;-999.0;-999.0;-999.0;-999.0;-999.0;-999.0;-999.0;-999.0;-999.0;-999.0;7.3;3.94;0.79;49.88;0.0;2090.0;844.29;0.35;26.45;26.1;50.97;4190.0;998.52;3.69;18.65;14.96;0.0;4180.0;997.26;1.65;23.9;22.25;0.02;4.07;0.15;46.8;-47.75;8.6;-44.97;1.33;80.47;0.22;77.37;31.99;0.0;198.03;0.0;;;-999.0;-999.0;-999.0;;;Data not found;Data not found;R110;1 RESTANI MATTEO;TALF8NHHBX1T1U1;00378721;616540;08/11/2024 14:00:01 - 12/11/2024 11:42:18;ACQUA;R410a_PA.txt;00;ALTA PORTATA;1;Ing. Paolo Russo;Ing. Paolo Russo;400V-460V 3PH 50Hz-60Hz;PASSED;;t002
