cell	testid	p_n	expected_start	due_date	test_description	test_status	stimation	priority	availability	duration	end_date
60	L000596	TLL46NMSBXOA000	13/01/2025	17/01/25	"Validate out of standard parameter (Condesation water -> 28¡C); Set gas charge;"	ON GOING	24	1	13/01/2025	16	15/01/2025
110	L000597	TALA1NMSBA00000	13/01/2025	17/01/25	"Validate new thermostatic valve; Set gas charge;"	ON GOING	16	1	13/01/2025	8	14/01/2025
60	L000598	TALA5NHRBXMS0U1	15/01/2025	17/01/25	"Validate new thermostatic valve; Set gas charge;"	HOLDING	16		14/01/2025		
60	L000599	TAO57DMIBXGU100		14/02/25	"Validate out of standard parameter (Flow); Set gas charge;"	HOLDING					
60	L000600	TALB9NMSBXED000		14/02/25		HOLDING					
60	L000601	PROT_TAL76_BGC		14/02/25		HOLDING					
60	L000602	PROT_TCW19_BGC		14/02/25		HOLDING					
60	L000603	TLO46PMIBXOS000		21/02/25		HOLDING					
60	L000604	TCW70DMSXXCB001		28/02/25	"Validate new thermostatic valve (BGC); Set gas charge;"	HOLDING					
60	L000605	PROT_TALA5_BGP		28/02/25		HOLDING					
110	L000606	TALD0NMSBXAA100		30/01/25	"Validate new fan;"	HOLDING					
110	L000607	TAOA3PLVBXIS000		21/02/25	"Validate new thermostatic valve; Set gas charge;"	HOLDING					
110	L000608	TALE6NNSXXGN2U2		21/02/25	"Validate new evaporator; Set gas charge;"	HOLDING					
110	L000609	TALD0NMSBA10256		28/02/25	"Validate new fan;"	HOLDING					
110	L000610	TAL57NHSBXVD000		28/02/25		HOLDING					
110	L000611	TALA8NMHBXOC500		07/03/25		HOLDING					
110	L000612	TALA8NMSXXGN106		14/03/25	"Validate new fan;"	HOLDING					
110	L000613	TALI4NNSXXGN2U2		25/04/25	"Validate new compressor;"	HOLDING					
	L000614	TCW41NBHBA10240	14/01/2025	20/01/25	"Check pump parameters;"	HOLDING	8		13/01/2025		
