Index,Column Name
0,STAZIONE DI COLLAUDO
1,TEST.ID
2,SUPPORT
3,TEST.ID2
4,N.PROVA
5,AVAILABLE.TEST.ID
6,AVAILABLE.N.PROVA
7,OPERATORE
8,CODICE MACCHINA
9,MATRICOLA MACCHINA
10,NUMERO ODL
11,DATE
12,EXTRACTED TEXT
13,DATA/ORA COLLAUDO
14,FLUIDO
15,GAS REFRIGERANTE
16,REVISIONE
17,LINEA DEL FLUIDO
18,HELPER22
19,NR CIRCUITI
20,RESPONSABILE LINEA CHILLER\CLIMA
21,DIREZIONE TECNICA
22,ALIMENTAZIONE
23,ESITO COLLAUDO
24,File name
25,Last modification
26,Note
27,Helper
28,Duration
29,P1
30,P2
31,P3
32,P4
33,P5
34,P6
35,T1
36,T2
37,T3
38,T4
39,T5
40,T6
41,T7
42,T8
43,TC7
44,TC8
45,TC9
46,TC10
47,P7
48,P8
49,P9
50,P10
51,PRELE_1
52,ITOT_1
53,PACTT_1
54,CFTOT_1
55,FTOT_1
56,ITOT_2
57,PACTT_2
58,CFTOT_2
59,FTOT_2
60,ITOT_3
61,PACTT_3
62,CFTOT_3
63,FTOT_3
64,ITOT_4
65,PACTT_4
66,CFTOT_4
67,FTOT_4
68,ITOT_5
69,PACTT_5
70,CFTOT_5
71,FTOT_5
72,EVAP1_POWER
73,EVAP1_Cp
74,EVAP1_Rho
75,EVAP1_dT
76,EVAP1_TIN_M
77,EVAP1_TOUT_M
78,EVAP2_POWER
79,EVAP2_Cp
80,EVAP2_Rho
81,EVAP2_dT
82,EVAP2_TIN_M
83,EVAP2_TOUT_M
84,EVAP3_POWER
85,EVAP3_Cp
86,EVAP3_Rho
87,EVAP3_dT
88,EVAP3_TIN_M
89,EVAP3_TOUT_M
90,EVAP1_DP_H2O
91,EVAP2_DP_H2O
92,EVAP3_DP_H2O
93,TC_P7
94,TC_P8
95,TC_P9
96,TC_P10
97,SOTT_1
98,SOTT_2
99,SURR_1
100,SURR_2
101,TAC_M
102,MP1_2
103,MP3_4
104,MP5_6
105,VCM_1
106,VCM_2
107,VCM_3
108,VCM_4
109,VCM_5
110,Column1
111,Column2
112,helper3
113,Duration2
